Gender,Job_Title,Experience_Years,Skills_Required,Education_Level,Location,Salary_INR
Female,Software Engineer,12,"Technical Skills, Problem Solving, Project Management",Masters/Postgraduate,Thiruvananthapuram,757653
Female,Software Engineer,1,"Technical Skills, Problem Solving, Project Management",Bachelors,Thiruvananthapuram,387967
Male,Software Engineer,11,"Technical Skills, Problem Solving, Project Management",Masters/Postgraduate,Thiruvananthapuram,937979
Male,Software Engineer,19,"Technical Skills, Problem Solving, Project Management",PhD/Doctorate,Vadodara,1406152
Male,Software Engineer,6,"Technical Skills, Problem Solving, Project Management",Masters/Postgraduate,Vadodara,819944
Female,Software Engineer,9,"Technical Skills, Problem Solving, Project Management",High School,Vadodara,537346
Male,Software Engineer,10,"Technical Skills, Problem Solving, Project Management",High School,Nashik,615383
Male,Software Engineer,5,"Technical Skills, Problem Solving, Project Management",High School,Nashik,445051
Male,Software Engineer,14,"Technical Skills, Problem Solving, Project Management",High School,Nashik,731516
Female,Software Engineer,9,"Technical Skills, Problem Solving, Project Management",Masters/Postgraduate,Rajkot,759945
Male,Software Engineer,16,"Technical Skills, Problem Solving, Project Management",High School,Rajkot,680067
Female,Software Engineer,16,"Technical Skills, Problem Solving, Project Management",Bachelors,Rajkot,762648
Non-binary,Software Engineer,15,"Technical Skills, Problem Solving, Project Management",Bachelors,Chandigarh,800928
Female,Software Engineer,17,"Technical Skills, Problem Solving, Project Management",Bachelors,Chandigarh,741555
Female,Software Engineer,1,"Technical Skills, Problem Solving, Project Management",High School,Chandigarh,355453
Male,Software Engineer,16,"Technical Skills, Problem Solving, Project Management",Bachelors,Gurgaon,1128673
Male,Software Engineer,8,"Technical Skills, Problem Solving, Project Management",Bachelors,Gurgaon,957948
Male,Software Engineer,20,"Technical Skills, Problem Solving, Project Management",Bachelors,Gurgaon,1428631
Male,Software Engineer,6,"Technical Skills, Problem Solving, Project Management",Masters/Postgraduate,Noida,952562
Male,Software Engineer,4,"Technical Skills, Problem Solving, Project Management",Masters/Postgraduate,Noida,891380
Female,Software Engineer,15,"Technical Skills, Problem Solving, Project Management",Bachelors,Noida,984302
Male,Software Engineer,12,"Technical Skills, Problem Solving, Project Management",High School,Faridabad,871293
Male,Software Engineer,9,"Technical Skills, Problem Solving, Project Management",Masters/Postgraduate,Faridabad,1057183
Male,Software Engineer,3,"Technical Skills, Problem Solving, Project Management",High School,Faridabad,534679
Male,Software Engineer,3,"Technical Skills, Problem Solving, Project Management",Bachelors,Ghaziabad,667132
Male,Software Engineer,17,"Technical Skills, Problem Solving, Project Management",Bachelors,Ghaziabad,1140607
Female,Software Engineer,14,"Technical Skills, Problem Solving, Project Management",High School,Ghaziabad,760854
Female,Software Engineer,14,"Technical Skills, Problem Solving, Project Management",Bachelors,Remote,816770
Male,Software Engineer,14,"Technical Skills, Problem Solving, Project Management",High School,Remote,781120
Male,Software Engineer,7,"Technical Skills, Problem Solving, Project Management",Bachelors,Remote,751447
Male,Senior Software Engineer,0,"Technical Skills, Problem Solving, Project Management",Masters/Postgraduate,Mumbai,1139929
Male,Senior Software Engineer,1,"Technical Skills, Problem Solving, Project Management",Masters/Postgraduate,Mumbai,1397620
Female,Senior Software Engineer,14,"Technical Skills, Problem Solving, Project Management",Bachelors,Mumbai,1580090
Male,Senior Software Engineer,12,"Technical Skills, Problem Solving, Project Management",High School,Delhi,1525135
Female,Senior Software Engineer,6,"Technical Skills, Problem Solving, Project Management",Bachelors,Delhi,1264597
Male,Senior Software Engineer,16,"Technical Skills, Problem Solving, Project Management",PhD/Doctorate,Delhi,2927058
Male,Senior Software Engineer,7,"Technical Skills, Problem Solving, Project Management",Masters/Postgraduate,Bangalore,1729072
Female,Senior Software Engineer,9,"Technical Skills, Problem Solving, Project Management",Masters/Postgraduate,Bangalore,1885196
Male,Senior Software Engineer,14,"Technical Skills, Problem Solving, Project Management",Masters/Postgraduate,Bangalore,2169276
Male,Senior Software Engineer,0,"Technical Skills, Problem Solving, Project Management",Bachelors,Chennai,969184
Male,Senior Software Engineer,4,"Technical Skills, Problem Solving, Project Management",High School,Chennai,965617
Female,Senior Software Engineer,15,"Technical Skills, Problem Solving, Project Management",PhD/Doctorate,Chennai,2221838
Male,Senior Software Engineer,16,"Technical Skills, Problem Solving, Project Management",Masters/Postgraduate,Hyderabad,2193764
Male,Senior Software Engineer,3,"Technical Skills, Problem Solving, Project Management",Bachelors,Hyderabad,1202700
Female,Senior Software Engineer,13,"Technical Skills, Problem Solving, Project Management",Bachelors,Hyderabad,1564286
Female,Senior Software Engineer,2,"Technical Skills, Problem Solving, Project Management",High School,Pune,712490
Female,Senior Software Engineer,2,"Technical Skills, Problem Solving, Project Management",Bachelors,Pune,926147
Male,Senior Software Engineer,5,"Technical Skills, Problem Solving, Project Management",Bachelors,Pune,1308533
Male,Senior Software Engineer,13,"Technical Skills, Problem Solving, Project Management",Bachelors,Kolkata,1348371
Male,Senior Software Engineer,10,"Technical Skills, Problem Solving, Project Management",Bachelors,Kolkata,1161645
Female,Senior Software Engineer,20,"Technical Skills, Problem Solving, Project Management",Masters/Postgraduate,Kolkata,1914554
Male,Senior Software Engineer,11,"Technical Skills, Problem Solving, Project Management",Masters/Postgraduate,Ahmedabad,1663271
Male,Senior Software Engineer,19,"Technical Skills, Problem Solving, Project Management",Masters/Postgraduate,Ahmedabad,1926852
Female,Senior Software Engineer,15,"Technical Skills, Problem Solving, Project Management",Masters/Postgraduate,Ahmedabad,1804435
Female,Senior Software Engineer,2,"Technical Skills, Problem Solving, Project Management",High School,Surat,596435
Male,Senior Software Engineer,16,"Technical Skills, Problem Solving, Project Management",Bachelors,Surat,1579437
Male,Senior Software Engineer,9,"Technical Skills, Problem Solving, Project Management",Bachelors,Surat,1249048
Male,Senior Software Engineer,11,"Technical Skills, Problem Solving, Project Management",Masters/Postgraduate,Jaipur,1355708
Female,Senior Software Engineer,7,"Technical Skills, Problem Solving, Project Management",Bachelors,Jaipur,865789
Male,Senior Software Engineer,5,"Technical Skills, Problem Solving, Project Management",High School,Jaipur,778523
Female,Senior Software Engineer,15,"Technical Skills, Problem Solving, Project Management",Masters/Postgraduate,Lucknow,1401456
Male,Senior Software Engineer,9,"Technical Skills, Problem Solving, Project Management",Bachelors,Lucknow,1009186
Female,Senior Software Engineer,8,"Technical Skills, Problem Solving, Project Management",Masters/Postgraduate,Lucknow,1048958
Male,Senior Software Engineer,9,"Technical Skills, Problem Solving, Project Management",Bachelors,Kanpur,1058239
Male,Senior Software Engineer,0,"Technical Skills, Problem Solving, Project Management",Masters/Postgraduate,Kanpur,864292
Female,Senior Software Engineer,10,"Technical Skills, Problem Solving, Project Management",Bachelors,Kanpur,868586
Male,Senior Software Engineer,7,"Technical Skills, Problem Solving, Project Management",Masters/Postgraduate,Nagpur,1292797
Male,Senior Software Engineer,20,"Technical Skills, Problem Solving, Project Management",Bachelors,Nagpur,1612495
Female,Senior Software Engineer,6,"Technical Skills, Problem Solving, Project Management",High School,Nagpur,690661
Male,Senior Software Engineer,4,"Technical Skills, Problem Solving, Project Management",Masters/Postgraduate,Indore,1040555
Male,Senior Software Engineer,3,"Technical Skills, Problem Solving, Project Management",Bachelors,Indore,841324
Male,Senior Software Engineer,7,"Technical Skills, Problem Solving, Project Management",Masters/Postgraduate,Indore,1028560
Male,Senior Software Engineer,15,"Technical Skills, Problem Solving, Project Management",PhD/Doctorate,Patna,1536462
Female,Senior Software Engineer,15,"Technical Skills, Problem Solving, Project Management",Bachelors,Patna,1014770
Male,Senior Software Engineer,16,"Technical Skills, Problem Solving, Project Management",Masters/Postgraduate,Patna,1468642
Female,Senior Software Engineer,10,"Technical Skills, Problem Solving, Project Management",PhD/Doctorate,Bhopal,1249994
Male,Senior Software Engineer,0,"Technical Skills, Problem Solving, Project Management",High School,Bhopal,536299
Male,Senior Software Engineer,0,"Technical Skills, Problem Solving, Project Management",Masters/Postgraduate,Bhopal,852785
Female,Senior Software Engineer,15,"Technical Skills, Problem Solving, Project Management",PhD/Doctorate,Coimbatore,1623835
Female,Senior Software Engineer,19,"Technical Skills, Problem Solving, Project Management",High School,Coimbatore,1223767
Male,Senior Software Engineer,8,"Technical Skills, Problem Solving, Project Management",Bachelors,Coimbatore,1117232
Female,Senior Software Engineer,11,"Technical Skills, Problem Solving, Project Management",High School,Kochi,999142
Male,Senior Software Engineer,19,"Technical Skills, Problem Solving, Project Management",Bachelors,Kochi,1741242
Female,Senior Software Engineer,14,"Technical Skills, Problem Solving, Project Management",PhD/Doctorate,Kochi,1745335
Male,Senior Software Engineer,1,"Technical Skills, Problem Solving, Project Management",Bachelors,Thiruvananthapuram,693223
Female,Senior Software Engineer,12,"Technical Skills, Problem Solving, Project Management",Masters/Postgraduate,Thiruvananthapuram,1349572
Female,Senior Software Engineer,20,"Technical Skills, Problem Solving, Project Management",High School,Thiruvananthapuram,1154283
Female,Senior Software Engineer,20,"Technical Skills, Problem Solving, Project Management",Masters/Postgraduate,Vadodara,1782640
Male,Senior Software Engineer,3,"Technical Skills, Problem Solving, Project Management",Masters/Postgraduate,Vadodara,984590
Male,Senior Software Engineer,9,"Technical Skills, Problem Solving, Project Management",Bachelors,Vadodara,1134405
Male,Senior Software Engineer,1,"Technical Skills, Problem Solving, Project Management",Masters/Postgraduate,Nashik,965979
Male,Senior Software Engineer,3,"Technical Skills, Problem Solving, Project Management",Bachelors,Nashik,840512
Male,Senior Software Engineer,20,"Technical Skills, Problem Solving, Project Management",Bachelors,Nashik,1667941
Male,Senior Software Engineer,4,"Technical Skills, Problem Solving, Project Management",Bachelors,Rajkot,840433
Male,Senior Software Engineer,7,"Technical Skills, Problem Solving, Project Management",High School,Rajkot,881067
Male,Senior Software Engineer,7,"Technical Skills, Problem Solving, Project Management",Bachelors,Rajkot,993924
Male,Senior Software Engineer,9,"Technical Skills, Problem Solving, Project Management",Bachelors,Chandigarh,1224655
Male,Senior Software Engineer,17,"Technical Skills, Problem Solving, Project Management",Masters/Postgraduate,Chandigarh,1899195
Female,Senior Software Engineer,3,"Technical Skills, Problem Solving, Project Management",Bachelors,Chandigarh,829427
Male,Senior Software Engineer,1,"Technical Skills, Problem Solving, Project Management",Masters/Postgraduate,Gurgaon,1196655
Female,Senior Software Engineer,6,"Technical Skills, Problem Solving, Project Management",High School,Gurgaon,965524
Female,Senior Software Engineer,0,"Technical Skills, Problem Solving, Project Management",High School,Gurgaon,799543
Male,Senior Software Engineer,2,"Technical Skills, Problem Solving, Project Management",Masters/Postgraduate,Noida,1392218
Male,Senior Software Engineer,9,"Technical Skills, Problem Solving, Project Management",Bachelors,Noida,1586817
Male,Senior Software Engineer,19,"Technical Skills, Problem Solving, Project Management",High School,Noida,1842662
Female,Senior Software Engineer,14,"Technical Skills, Problem Solving, Project Management",High School,Faridabad,1186310
Male,Senior Software Engineer,7,"Technical Skills, Problem Solving, Project Management",Masters/Postgraduate,Faridabad,1685196
Male,Senior Software Engineer,0,"Technical Skills, Problem Solving, Project Management",High School,Faridabad,827182
Male,Senior Software Engineer,5,"Technical Skills, Problem Solving, Project Management",High School,Ghaziabad,991594
Male,Senior Software Engineer,14,"Technical Skills, Problem Solving, Project Management",High School,Ghaziabad,1373106
Male,Senior Software Engineer,3,"Technical Skills, Problem Solving, Project Management",Bachelors,Ghaziabad,933897
Non-binary,Senior Software Engineer,15,"Technical Skills, Problem Solving, Project Management",High School,Remote,1291613
Female,Senior Software Engineer,11,"Technical Skills, Problem Solving, Project Management",Bachelors,Remote,1244342
Male,Senior Software Engineer,0,"Technical Skills, Problem Solving, Project Management",Masters/Postgraduate,Remote,1101257
Non-binary,Data Scientist,12,"Professional Skills, Communication",High School,Mumbai,1525492
Female,Data Scientist,16,"Professional Skills, Communication",Bachelors,Mumbai,1917246
Female,Data Scientist,5,"Professional Skills, Communication",Bachelors,Mumbai,1390832
Female,Data Scientist,4,"Professional Skills, Communication",Masters/Postgraduate,Delhi,1428042
Male,Data Scientist,3,"Professional Skills, Communication",High School,Delhi,1204243
Male,Data Scientist,7,"Professional Skills, Communication",Masters/Postgraduate,Delhi,1892002
Male,Data Scientist,10,"Professional Skills, Communication",High School,Bangalore,1588235
Female,Data Scientist,5,"Professional Skills, Communication",Bachelors,Bangalore,1513864
Female,Data Scientist,10,"Professional Skills, Communication",High School,Bangalore,1547543
Male,Data Scientist,10,"Professional Skills, Communication",Masters/Postgraduate,Chennai,2189440
Male,Data Scientist,15,"Professional Skills, Communication",Bachelors,Chennai,2052510
Female,Data Scientist,5,"Professional Skills, Communication",Bachelors,Chennai,1178057
Male,Data Scientist,4,"Professional Skills, Communication",High School,Hyderabad,1245998
Female,Data Scientist,12,"Professional Skills, Communication",Masters/Postgraduate,Hyderabad,1870369
Male,Data Scientist,1,"Professional Skills, Communication",PhD/Doctorate,Hyderabad,1512777
Female,Data Scientist,16,"Professional Skills, Communication",Masters/Postgraduate,Pune,2451078
Male,Data Scientist,6,"Professional Skills, Communication",PhD/Doctorate,Pune,2145943
Male,Data Scientist,20,"Professional Skills, Communication",High School,Pune,2030036
Female,Data Scientist,4,"Professional Skills, Communication",High School,Kolkata,844639
Male,Data Scientist,14,"Professional Skills, Communication",High School,Kolkata,1555356
Male,Data Scientist,17,"Professional Skills, Communication",Bachelors,Kolkata,1878933
Female,Data Scientist,6,"Professional Skills, Communication",Masters/Postgraduate,Ahmedabad,1301168
Male,Data Scientist,2,"Professional Skills, Communication",Bachelors,Ahmedabad,1173043
Male,Data Scientist,18,"Professional Skills, Communication",High School,Ahmedabad,1621941
Male,Data Scientist,14,"Professional Skills, Communication",Masters/Postgraduate,Surat,1942018
Non-binary,Data Scientist,3,"Professional Skills, Communication",Bachelors,Surat,838038
Male,Data Scientist,3,"Professional Skills, Communication",PhD/Doctorate,Surat,1371745
Female,Data Scientist,14,"Professional Skills, Communication",Bachelors,Jaipur,1306555
Female,Data Scientist,10,"Professional Skills, Communication",Bachelors,Jaipur,1117517
Male,Data Scientist,19,"Professional Skills, Communication",Masters/Postgraduate,Jaipur,1998884
Male,Data Scientist,8,"Professional Skills, Communication",Bachelors,Lucknow,1145455
Male,Data Scientist,9,"Professional Skills, Communication",Bachelors,Lucknow,1274467
Male,Data Scientist,18,"Professional Skills, Communication",Masters/Postgraduate,Lucknow,1839693
Male,Data Scientist,7,"Professional Skills, Communication",Bachelors,Kanpur,1140875
Female,Data Scientist,10,"Professional Skills, Communication",Masters/Postgraduate,Kanpur,1388884
Male,Data Scientist,8,"Professional Skills, Communication",High School,Kanpur,910385
Male,Data Scientist,4,"Professional Skills, Communication",Bachelors,Nagpur,959755
Male,Data Scientist,6,"Professional Skills, Communication",High School,Nagpur,963352
Female,Data Scientist,14,"Professional Skills, Communication",Masters/Postgraduate,Nagpur,1566010
Male,Data Scientist,9,"Professional Skills, Communication",Bachelors,Indore,1109946
Female,Data Scientist,10,"Professional Skills, Communication",Bachelors,Indore,1097021
Female,Data Scientist,7,"Professional Skills, Communication",Masters/Postgraduate,Indore,1268035
Non-binary,Data Scientist,18,"Professional Skills, Communication",High School,Patna,1023091
Female,Data Scientist,13,"Professional Skills, Communication",Bachelors,Patna,1107483
Male,Data Scientist,18,"Professional Skills, Communication",Bachelors,Patna,1399285
Male,Data Scientist,3,"Professional Skills, Communication",Bachelors,Bhopal,947222
Male,Data Scientist,1,"Professional Skills, Communication",Masters/Postgraduate,Bhopal,1063858
Male,Data Scientist,20,"Professional Skills, Communication",Bachelors,Bhopal,1607260
Female,Data Scientist,10,"Professional Skills, Communication",Bachelors,Coimbatore,1207736
Male,Data Scientist,18,"Professional Skills, Communication",Bachelors,Coimbatore,1700236
Male,Data Scientist,13,"Professional Skills, Communication",Bachelors,Coimbatore,1365855
Male,Data Scientist,16,"Professional Skills, Communication",Bachelors,Kochi,1881403
Female,Data Scientist,2,"Professional Skills, Communication",High School,Kochi,770749
Female,Data Scientist,10,"Professional Skills, Communication",Masters/Postgraduate,Kochi,1477654
Male,Data Scientist,5,"Professional Skills, Communication",PhD/Doctorate,Thiruvananthapuram,1507223
Male,Data Scientist,6,"Professional Skills, Communication",Bachelors,Thiruvananthapuram,1112182
Male,Data Scientist,17,"Professional Skills, Communication",Masters/Postgraduate,Thiruvananthapuram,2191025
Male,Data Scientist,1,"Professional Skills, Communication",PhD/Doctorate,Vadodara,1300663
Female,Data Scientist,10,"Professional Skills, Communication",Bachelors,Vadodara,1339867
Male,Data Scientist,7,"Professional Skills, Communication",Masters/Postgraduate,Vadodara,1407477
Male,Data Scientist,1,"Professional Skills, Communication",Masters/Postgraduate,Nashik,1123071
Male,Data Scientist,17,"Professional Skills, Communication",Masters/Postgraduate,Nashik,1964793
Female,Data Scientist,20,"Professional Skills, Communication",High School,Nashik,1340752
Male,Data Scientist,15,"Professional Skills, Communication",Bachelors,Rajkot,1641708
Female,Data Scientist,4,"Professional Skills, Communication",PhD/Doctorate,Rajkot,1229018
Female,Data Scientist,5,"Professional Skills, Communication",Masters/Postgraduate,Rajkot,1169360
Male,Data Scientist,18,"Professional Skills, Communication",High School,Chandigarh,1613030
Female,Data Scientist,3,"Professional Skills, Communication",Bachelors,Chandigarh,954958
Female,Data Scientist,13,"Professional Skills, Communication",High School,Chandigarh,1102616
Female,Data Scientist,13,"Professional Skills, Communication",Bachelors,Gurgaon,1799688
Female,Data Scientist,11,"Professional Skills, Communication",Bachelors,Gurgaon,1794591
Male,Data Scientist,11,"Professional Skills, Communication",Bachelors,Gurgaon,2111059
Male,Data Scientist,8,"Professional Skills, Communication",High School,Noida,1419297
Male,Data Scientist,10,"Professional Skills, Communication",Masters/Postgraduate,Noida,2194117
Female,Data Scientist,4,"Professional Skills, Communication",PhD/Doctorate,Noida,1856606
Female,Data Scientist,4,"Professional Skills, Communication",Masters/Postgraduate,Faridabad,1476793
Male,Data Scientist,12,"Professional Skills, Communication",Masters/Postgraduate,Faridabad,2363479
Male,Data Scientist,7,"Professional Skills, Communication",Bachelors,Faridabad,1411406
Male,Data Scientist,14,"Professional Skills, Communication",Bachelors,Ghaziabad,1728275
Male,Data Scientist,8,"Professional Skills, Communication",Bachelors,Ghaziabad,1530477
Male,Data Scientist,2,"Professional Skills, Communication",Bachelors,Ghaziabad,1066032
Female,Data Scientist,12,"Professional Skills, Communication",Masters/Postgraduate,Remote,1973412
Male,Data Scientist,6,"Professional Skills, Communication",PhD/Doctorate,Remote,1857511
Female,Data Scientist,9,"Professional Skills, Communication",Bachelors,Remote,1421363
Female,Machine Learning Engineer,8,"Technical Skills, Problem Solving, Project Management",PhD/Doctorate,Mumbai,2262435
Male,Machine Learning Engineer,0,"Technical Skills, Problem Solving, Project Management",High School,Mumbai,994041
Male,Machine Learning Engineer,7,"Technical Skills, Problem Solving, Project Management",Bachelors,Mumbai,1922457
Male,Machine Learning Engineer,13,"Technical Skills, Problem Solving, Project Management",Masters/Postgraduate,Delhi,2501161
Female,Machine Learning Engineer,17,"Technical Skills, Problem Solving, Project Management",High School,Delhi,1755352
Male,Machine Learning Engineer,14,"Technical Skills, Problem Solving, Project Management",Bachelors,Delhi,2045216
Female,Machine Learning Engineer,15,"Technical Skills, Problem Solving, Project Management",Bachelors,Bangalore,2174106
Female,Machine Learning Engineer,7,"Technical Skills, Problem Solving, Project Management",High School,Bangalore,1417972
Female,Machine Learning Engineer,6,"Technical Skills, Problem Solving, Project Management",High School,Chennai,1200287
Female,Machine Learning Engineer,13,"Technical Skills, Problem Solving, Project Management",PhD/Doctorate,Chennai,2533794
Female,Machine Learning Engineer,8,"Technical Skills, Problem Solving, Project Management",Bachelors,Hyderabad,1399041
Male,Machine Learning Engineer,10,"Technical Skills, Problem Solving, Project Management",Bachelors,Hyderabad,1761155
Male,Machine Learning Engineer,20,"Technical Skills, Problem Solving, Project Management",High School,Hyderabad,1966557
Female,Machine Learning Engineer,11,"Technical Skills, Problem Solving, Project Management",Masters/Postgraduate,Pune,1888521
Male,Machine Learning Engineer,3,"Technical Skills, Problem Solving, Project Management",Masters/Postgraduate,Pune,1718847
Female,Machine Learning Engineer,20,"Technical Skills, Problem Solving, Project Management",Bachelors,Pune,2037598
Female,Machine Learning Engineer,15,"Technical Skills, Problem Solving, Project Management",High School,Kolkata,1393822
Male,Machine Learning Engineer,6,"Technical Skills, Problem Solving, Project Management",Masters/Postgraduate,Kolkata,1619327
Female,Machine Learning Engineer,16,"Technical Skills, Problem Solving, Project Management",Bachelors,Kolkata,1516451
Male,Machine Learning Engineer,19,"Technical Skills, Problem Solving, Project Management",Bachelors,Ahmedabad,1965997
Male,Machine Learning Engineer,15,"Technical Skills, Problem Solving, Project Management",PhD/Doctorate,Ahmedabad,2497915
Male,Machine Learning Engineer,13,"Technical Skills, Problem Solving, Project Management",Bachelors,Ahmedabad,1882006
Female,Machine Learning Engineer,0,"Technical Skills, Problem Solving, Project Management",Bachelors,Surat,727986
Female,Machine Learning Engineer,4,"Technical Skills, Problem Solving, Project Management",High School,Surat,851259
Male,Machine Learning Engineer,14,"Technical Skills, Problem Solving, Project Management",Bachelors,Surat,1629236
Male,Machine Learning Engineer,10,"Technical Skills, Problem Solving, Project Management",High School,Jaipur,1156956
Female,Machine Learning Engineer,15,"Technical Skills, Problem Solving, Project Management",Masters/Postgraduate,Jaipur,1686729
Female,Machine Learning Engineer,18,"Technical Skills, Problem Solving, Project Management",Bachelors,Jaipur,1684050
Male,Machine Learning Engineer,7,"Technical Skills, Problem Solving, Project Management",High School,Lucknow,962275
Female,Machine Learning Engineer,18,"Technical Skills, Problem Solving, Project Management",Masters/Postgraduate,Lucknow,1738887
Male,Machine Learning Engineer,5,"Technical Skills, Problem Solving, Project Management",Masters/Postgraduate,Lucknow,1184867
Male,Machine Learning Engineer,6,"Technical Skills, Problem Solving, Project Management",Bachelors,Kanpur,1059555
Female,Machine Learning Engineer,0,"Technical Skills, Problem Solving, Project Management",Bachelors,Kanpur,671478
Male,Machine Learning Engineer,15,"Technical Skills, Problem Solving, Project Management",Masters/Postgraduate,Kanpur,1771284
Female,Machine Learning Engineer,8,"Technical Skills, Problem Solving, Project Management",Masters/Postgraduate,Nagpur,1267007
Female,Machine Learning Engineer,2,"Technical Skills, Problem Solving, Project Management",Bachelors,Nagpur,793476
Male,Machine Learning Engineer,17,"Technical Skills, Problem Solving, Project Management",Masters/Postgraduate,Nagpur,2175514
Male,Machine Learning Engineer,17,"Technical Skills, Problem Solving, Project Management",Masters/Postgraduate,Indore,2021522
Male,Machine Learning Engineer,18,"Technical Skills, Problem Solving, Project Management",Bachelors,Indore,1687228
